gamePk,season,away_team_name,away_team_wins,away_team_losses,away_team_pct,home_team_name,home_team_wins,home_team_losses,home_team_pct,venue_name,seriesGameNumber,gamesInSeries,dayNight,date,is_last_game_of_series,series_progress
745444,2024,Los Angeles Dodgers,1,0,1.0,San Diego Padres,0,1,0.0,Other,1,2,night,2024-03-20,0,0.5
746175,2024,San Diego Padres,1,1,0.5,Los Angeles Dodgers,1,1,0.5,Other,2,2,night,2024-03-21,1,1.0
747060,2024,Los Angeles Angels,0,1,0.0,Baltimore Orioles,1,0,1.0,Oriole Park at Camden Yards,1,3,day,2024-03-28,0,0.3333333333333333
746737,2024,Washington Nationals,0,1,0.0,Cincinnati Reds,1,0,1.0,Great American Ball Park,1,3,day,2024-03-28,0,0.3333333333333333
745445,2024,San Francisco Giants,0,1,0.0,San Diego Padres,2,1,0.667,Petco Park,1,4,day,2024-03-28,0,0.25
746165,2024,St. Louis Cardinals,0,1,0.0,Los Angeles Dodgers,2,1,0.667,Dodger Stadium,1,4,day,2024-03-28,0,0.25
745116,2024,Toronto Blue Jays,1,0,1.0,Tampa Bay Rays,0,1,0.0,Tropicana Field,1,4,day,2024-03-28,0,0.25
746335,2024,Minnesota Twins,1,0,1.0,Kansas City Royals,0,1,0.0,Kauffman Stadium,1,3,day,2024-03-28,0,0.3333333333333333
746821,2024,Detroit Tigers,1,0,1.0,Chicago White Sox,0,1,0.0,Guaranteed Rate Field,1,3,day,2024-03-28,0,0.3333333333333333
746089,2024,Pittsburgh Pirates,1,0,1.0,Miami Marlins,0,1,0.0,loanDepot park,1,4,day,2024-03-28,0,0.25
746418,2024,New York Yankees,1,0,1.0,Houston Astros,0,1,0.0,Minute Maid Park,1,4,day,2024-03-28,0,0.25
745039,2024,Chicago Cubs,0,1,0.0,Texas Rangers,1,0,1.0,Globe Life Field,1,3,night,2024-03-28,0,0.3333333333333333
745687,2024,Cleveland Guardians,1,0,1.0,Oakland Athletics,0,1,0.0,Oakland Coliseum,1,4,night,2024-03-28,0,0.25
747224,2024,Colorado Rockies,0,1,0.0,Arizona Diamondbacks,1,0,1.0,Chase Field,1,4,night,2024-03-28,0,0.25
745283,2024,Boston Red Sox,1,0,1.0,Seattle Mariners,0,1,0.0,T-Mobile Park,1,4,night,2024-03-28,0,0.25
745848,2024,Milwaukee Brewers,1,0,1.0,New York Mets,0,1,0.0,Citi Field,1,3,day,2024-03-29,0,0.3333333333333333
745604,2024,Atlanta Braves,1,0,1.0,Philadelphia Phillies,0,1,0.0,Citizens Bank Park,1,3,day,2024-03-29,0,0.3333333333333333
745117,2024,Toronto Blue Jays,1,1,0.5,Tampa Bay Rays,1,1,0.5,Tropicana Field,2,4,night,2024-03-29,0,0.5
746091,2024,Pittsburgh Pirates,2,0,1.0,Miami Marlins,0,2,0.0,loanDepot park,2,4,night,2024-03-29,0,0.5
746412,2024,New York Yankees,2,0,1.0,Houston Astros,0,2,0.0,Minute Maid Park,2,4,night,2024-03-29,0,0.5
747223,2024,Colorado Rockies,0,2,0.0,Arizona Diamondbacks,2,0,1.0,Chase Field,2,4,night,2024-03-29,0,0.5
745682,2024,Cleveland Guardians,2,0,1.0,Oakland Athletics,0,2,0.0,Oakland Coliseum,2,4,night,2024-03-29,0,0.5
745276,2024,Boston Red Sox,1,1,0.5,Seattle Mariners,1,1,0.5,T-Mobile Park,2,4,night,2024-03-29,0,0.5
745435,2024,San Francisco Giants,1,1,0.5,San Diego Padres,2,2,0.5,Petco Park,2,4,night,2024-03-29,0,0.5
746167,2024,St. Louis Cardinals,0,2,0.0,Los Angeles Dodgers,3,1,0.75,Dodger Stadium,2,4,night,2024-03-29,0,0.5
745850,2024,Milwaukee Brewers,2,0,1.0,New York Mets,0,2,0.0,Citi Field,2,3,day,2024-03-30,0,0.6666666666666666
